AUC,PR_AUC,Precision,Recall,F1,Accuracy,PosEdges,InputGraph,TargetGraph,InputEdges,TargetEdges,Scenario,Seed,BestEpoch
0.9693750521855543,0.9813240355662542,0.644715236366779,0.971733750162824,0.7751454696591854,0.7181190569232774,7677,1779,1780,6344,7677,low_density,2,40
0.9707124966682705,0.982110607241462,0.6484600986898077,0.9735598416145101,0.7784302711535516,0.7228892578873419,7829,596,597,6671,7829,low_density,2,40
0.9751906325551464,0.9841414102853374,0.6462738657359886,0.978247358607831,0.7783409568549883,0.7214108141702921,6436,532,533,6761,6436,low_density,2,40
0.978154266875524,0.9862702381559795,0.644598980064905,0.9784658691062632,0.7771939631078815,0.7194933145672062,7105,1729,1730,6265,7105,low_density,2,40
0.9648079443141645,0.9766192230518298,0.6447655398037078,0.9709867250581634,0.7749440227185844,0.7180101272752155,7307,274,275,6468,7307,low_density,2,40
0.9844742022536881,0.9897265476232169,0.646295733252255,0.9862356944014847,0.7808730790424294,0.7232446643983916,6466,1661,1662,6726,6466,low_density,2,40
0.9539694903153442,0.9721116440696291,0.6449106449106449,0.9591217680196447,0.7712410709100412,0.715513505705619,6923,375,376,6665,6923,low_density,2,40
0.9840395758762815,0.9894561904269236,0.6512772194304858,0.987146937480165,0.7847861738362558,0.7292922881624881,6302,1569,1570,6657,6302,low_density,2,40
0.9681452725763989,0.98002523007352,0.6484109534279432,0.9711121089657236,0.7776113141966801,0.7222721149528514,6681,859,860,6641,6681,low_density,2,40
0.9668458986398855,0.9796459076648942,0.6429919539088109,0.9704647676161919,0.773495847523451,0.7158170914542729,6670,1398,1399,6615,6670,low_density,2,40
0.9654726417026732,0.9783255086819436,0.6464495568170501,0.9693847072879331,0.7756467706279501,0.7196087216248507,6696,519,520,6900,6696,low_density,2,40
0.9800564285668248,0.9870068987473138,0.6474244279122328,0.9818623250499857,0.7803189376312355,0.7235789774350185,7002,1590,1591,6904,7002,low_density,2,40
0.9767689426150008,0.9859098209446303,0.6512593151589473,0.9785967399007796,0.7820570910738559,0.7272856130403968,7055,1751,1752,6714,7055,low_density,2,40
0.9760577553812719,0.9850590176197769,0.6478567552902875,0.9796253247641187,0.7799248816068804,0.7235744564474224,7313,467,468,6665,7313,low_density,2,40
0.9695429411470405,0.9807359971782914,0.6477345245692406,0.9722222222222222,0.7774798927613941,0.7217432950191571,7308,856,857,6733,7308,low_density,2,40
0.9658342226555998,0.9791979925396962,0.6491023053224264,0.9707658087067048,0.7779970713694531,0.722990149348586,6294,1100,1101,6904,6294,low_density,2,40
0.9722982992209677,0.9829016378169662,0.6515737161789067,0.9745354439091535,0.7809828470575257,0.7267033723331039,7265,711,712,6685,7265,low_density,2,40
0.9739791836734693,0.9832629200334538,0.6440805571240353,0.9777142857142858,0.7765800521956201,0.7187142857142857,7000,1646,1647,6503,7000,low_density,2,40
0.9802237423339144,0.9870883696768733,0.6517124939700917,0.9827837051406402,0.7837184569273905,0.7287827352085354,8248,632,633,6887,8248,low_density,2,40
0.9767849491155557,0.9849306331480215,0.6461418550272798,0.9809199822511463,0.7790895741556535,0.721860671498299,6761,531,532,6539,6761,low_density,2,40
0.9684937165883519,0.9799193121480719,0.6490409994721098,0.973604328890062,0.7788629045029827,0.7235713343011746,7577,1082,1083,6496,7577,low_density,2,40
0.9573553132839939,0.9722334798810885,0.6443349753694582,0.9574234476027815,0.7702802178927222,0.7144687080639258,8197,1145,1146,6588,8197,low_density,2,40
0.9796959118563805,0.9865642515485694,0.6475233309404164,0.9836423118865867,0.780952380952381,0.7241003271537623,7336,406,407,6677,7336,low_density,2,40
0.9738106774254081,0.9842563416969263,0.644854737985338,0.976027397260274,0.7766090795138699,0.7192465753424657,7300,804,805,6496,7300,low_density,2,40
0.9634510872398796,0.9773588851288171,0.6433722068904122,0.9690265486725663,0.7733133593708201,0.7159426119603111,7458,1487,1488,6656,7458,low_density,2,40
0.9729932151115064,0.9831697716593945,0.6453604661274893,0.9747799816104032,0.7765801590623692,0.7195586496781821,7613,1208,1209,6597,7613,low_density,2,40
0.977672503201123,0.9852849748593143,0.6481549476776207,0.9824683456240434,0.7810408716332061,0.7245721441491582,7187,1259,1260,6934,7187,low_density,2,40
