AUC,Precision,Recall,F1,Accuracy,MRR,PosEdges,NegEdges,InputGraph,TargetGraph
0.9644832628143252,0.6463093868157159,0.9684690232787289,0.775252649741188,0.7192388225150881,1.0,8119,8119,212,213
0.9740627555479402,0.6505484319480921,0.9818139426439729,0.7825682958557889,0.7272091396595943,1.0,8578,8578,213,214
0.9770715398657155,0.6465510414191811,0.9791316862556968,0.7788218459336991,0.7219357159990405,1.0,8338,8338,214,215
0.979969448105081,0.6502677116473966,0.9827606426644775,0.7826655459045484,0.7271021461240764,1.0,8527,8527,215,216
0.9787776063164674,0.6521620886592331,0.9807770961145195,0.7834041163018621,0.7288343558282209,1.0,7335,7335,216,217
0.9776433963941707,0.6484444087145269,0.9811458460041358,0.7808325266214908,0.7246077119571829,1.0,8221,8221,217,218
0.9805230705962669,0.6507468026115732,0.9827120475418692,0.7829970406241593,0.7276472177201513,1.0,7404,7404,218,219
0.9706194338151741,0.6462063086104007,0.9756864988558352,0.7774801983018975,0.7207522883295194,1.0,6992,6992,219,220
0.9708783104039675,0.6484055600981193,0.9723433242506812,0.778001853164005,0.7225476839237057,1.0,7340,7340,220,221
0.9717020262384052,0.648914858096828,0.976878612716763,0.7798174340455412,0.7241769288766021,1.0,7958,7958,221,222
0.970819802572105,0.6524535021764939,0.9742945782242577,0.7815370030218641,0.7276554882552815,1.0,6769,6769,222,223
0.9681406268121769,0.6475691461948119,0.972147001934236,0.7773367015517864,0.7215344938749194,1.0,7755,7755,223,224
0.9723153951577359,0.6508725839744792,0.974024150519517,0.7803149606299212,0.7257792754844145,1.0,7122,7122,224,225
0.976576775655184,0.6481244281793229,0.9812993489402965,0.7806490715741914,0.7242692893752597,1.0,7219,7219,225,226
0.9741943061977222,0.6494795055302537,0.9746155723700268,0.779502196193265,0.7243104710763973,1.0,8194,8194,226,227
0.9824003354152513,0.6489839007653735,0.9863618130766145,0.7828716969118116,0.7264340152426795,1.0,7479,7479,227,228
0.9867194108075342,0.6559488426551382,0.987927292457949,0.7884167794316644,0.734875203472599,1.0,7372,7372,228,229
0.964595661119152,0.6411792232101077,0.9647936910294325,0.7703811986956033,0.7124348683284044,1.0,7101,7101,229,230
0.9738368990532699,0.6475113541570118,0.9750174459176553,0.778210983624819,0.7221214235868807,1.0,7165,7165,230,231
0.9765746948153929,0.6501132759401903,0.9811269146608315,0.7820352101160952,0.7265454048140044,1.0,7312,7312,231,232
0.9671592628293675,0.6494066005527557,0.9717795888578031,0.7785411489548312,0.7235737744799903,1.0,8221,8221,232,233
0.8937474112532378,0.6312270143764627,0.8992617289830912,0.7417738925449366,0.6869492736365801,1.0,8398,8398,233,234
0.9756241932902641,0.6495411270263316,0.9790562378797673,0.7809631844900484,0.7254040077569489,1.0,7735,7735,234,235
0.9781024722809905,0.649647266313933,0.9814814814814815,0.7818104637588879,0.726085798028244,1.0,7506,7506,235,236
0.9590937449250307,0.6453525494846302,0.9657384657384658,0.7736891027393515,0.7175129675129676,1.0,7326,7326,236,237
0.9733954904188508,0.6464940098661028,0.9747642449196441,0.7773952650812986,0.720879266834905,1.0,7529,7529,237,238
0.9617547775102319,0.6446850393700787,0.968457368161656,0.7740791806184755,0.7173484475110892,1.0,8116,8116,238,239
0.9820056824654015,0.6508379888268156,0.9848538217682282,0.7837421163279608,0.7282493835857696,1.0,8517,8517,239,240
0.9741787559858347,0.649829691783667,0.9775056235941014,0.7806776785268726,0.7253811547113221,1.0,8002,8002,240,241
0.9774312351848112,0.6485817941952506,0.9809203142536476,0.7808606740457636,0.7247162987903729,1.0,8019,8019,241,242
0.9744645610742267,0.6509778833851215,0.9797799174690509,0.7822314957171096,0.7272352132049519,1.0,7270,7270,242,243
0.9798436680480318,0.6496275541584091,0.985997303184317,0.7832248496333526,0.7271029976143554,1.0,9641,9641,243,244
0.9785502625130209,0.6531285255575805,0.9819937369519833,0.7844894980976703,0.730232254697286,1.0,7664,7664,244,245
0.9687658725369299,0.6468570448503559,0.9711600360499549,0.776508132592135,0.7204840993948758,1.0,7767,7767,245,246
0.9778965914884208,0.6523700035373187,0.9802019665160776,0.7833705001592864,0.7289396757905926,1.0,7526,7526,246,247
0.9839814313111591,0.6546655656482246,0.9871746980450753,0.7872498882875726,0.7332212675880961,1.0,8031,8031,247,248
0.9781108425370345,0.6516789516789516,0.9825882934057792,0.7836320661808155,0.7286984440602617,1.0,8098,8098,248,249
0.9815619273105798,0.6469647217310769,0.983237364043506,0.780418444038188,0.7233525271912988,1.0,7815,7815,249,250
0.9701072637607753,0.643444055944056,0.9758716690971762,0.7755360059000158,0.7175526978655707,1.0,7543,7543,250,251
0.9748451519838357,0.6476530523382391,0.9798418972332016,0.7798458553976826,0.7233860342555994,1.0,7590,7590,251,252
0.9656150481405662,0.6499138426191844,0.9701343240925979,0.7783765191469847,0.7237782223492426,1.0,6998,6998,252,253
0.9623724986615559,0.6438368860055607,0.9675487465181059,0.7731775180856983,0.7161559888579387,1.0,7180,7180,253,254
0.974156619090437,0.644801051051051,0.9780782918149467,0.7772184831174708,0.719644128113879,1.0,7025,7025,254,255
0.9757691739157729,0.6479569323095932,0.9764596355898391,0.7789920424403183,0.7229684798510441,1.0,7519,7519,255,256
0.9761688342650684,0.6508303372710152,0.9791371538956858,0.7819200905023911,0.7269156471345782,1.0,7765,7765,256,257
0.9622578191713886,0.649619253548933,0.9637377963737797,0.7760992867973269,0.7219665271966528,1.0,7170,7170,257,258
0.9733206062362542,0.6468637483418609,0.9757038730884665,0.7779613697225229,0.7215235100757468,1.0,6997,6997,258,259
0.9636426977064163,0.6398287297456133,0.9656614292954891,0.7696813614098874,0.7110364926507856,1.0,7892,7892,259,260
0.9609579119383928,0.6476497695852534,0.9628665387777473,0.7744104033502315,0.7195121951219512,1.0,7298,7298,260,261
0.9825668702605037,0.6478290251731711,0.9839620220682577,0.7812754686226568,0.7245316910443931,1.0,7794,7794,261,262
0.9726476389372317,0.645282076884673,0.97473604826546,0.7765094623009913,0.7194570135746606,1.0,7956,7956,262,263
0.974647536894653,0.6483054210651639,0.9762160870084857,0.7791662691977488,0.7233177961037409,1.0,8367,8367,263,264
0.974289883664763,0.6509616269439588,0.9799141155284665,0.7822625234988388,0.727247541210694,1.0,7219,7219,264,265
0.9825342611911442,0.6459130125411368,0.9860149355057706,0.780524505588994,0.7227427019687712,1.0,7365,7365,265,266
0.9815545326760898,0.653703341801837,0.9842577607768133,0.7856262110269508,0.7314256289539502,1.0,6797,6797,266,267
0.9674926615441343,0.6457774798927614,0.9727410398788491,0.776233635448137,0.7195860676426048,1.0,7924,7924,267,268
0.9820299944236325,0.6503719447396387,0.9818181818181818,0.7824419347965055,0.7270053475935829,1.0,7480,7480,268,269
0.9675721989919938,0.6511730463926618,0.9697885196374623,0.7791673262624663,0.7251412058321293,1.0,7613,7613,269,270
0.9803675593637508,0.6480215454733789,0.983957219251337,0.781413939545341,0.724756212645486,1.0,6358,6358,270,271
0.9806586621689009,0.6531647905517624,0.9834676298971937,0.784985584386782,0.7306196165601556,1.0,7198,7198,271,272
0.9824157441249944,0.652134340584327,0.9835277968428278,0.7842600700525394,0.7294440631434455,1.0,7285,7285,272,273
0.9740785854455348,0.6452830188679245,0.9782003710575139,0.777607079210963,0.7202380952380952,1.0,6468,6468,273,274
0.9667736135258136,0.6497485139460448,0.972355275762967,0.7789716039907905,0.7241001779115916,1.0,7307,7307,274,275
0.969915239342476,0.646335785454884,0.9743121841661988,0.7771370990315176,0.720592363840539,1.0,7124,7124,275,276
0.9716817703614069,0.646916146916147,0.9769754055468342,0.778403168647071,0.7218733647305076,1.0,7644,7644,276,277
0.9809837600605602,0.6483809851877368,0.9836686699764828,0.7815841378594415,0.7251110530441599,1.0,7654,7654,277,278
0.9780510448262235,0.6484976724502751,0.9816784112748238,0.7810397553516819,0.7247918001281229,1.0,7805,7805,278,279
0.977404166855838,0.6471387002909796,0.9791605518051071,0.7792571829011913,0.7226298796595245,1.0,6814,6814,279,280
0.9780273973990953,0.6470935379167896,0.9807692307692307,0.7797333333333333,0.7229427549194991,1.0,6708,6708,280,281
0.9745391237925842,0.6520661976018234,0.9762611275964391,0.7818905590873982,0.7276706231454005,1.0,6740,6740,281,282
0.9750288620127828,0.6481882352941176,0.9748053786270346,0.778631995477671,0.7228591648973814,1.0,7065,7065,282,283
0.9810821485828917,0.6551330798479087,0.9837282329431916,0.786488645441059,0.7329431915500999,1.0,7006,7006,283,284
0.9641114344425896,0.6488030239395212,0.9693775100401606,0.7773360841342525,0.7223268072289156,1.0,7968,7968,284,285
